"","lv","Annotation","cell_type","value","sample","patient","Groups"
"31","1","tumor cells-CD8+ T cells","nerves","0.005235602094240838","reg003","1","3"
"32","1","tumor cells-CD8+ T cells","neutrophils","0.005235602094240838","reg003","1","3"
"33","1","tumor cells-CD8+ T cells","plasma cells","0.0","reg003","1","3"
"34","1","tumor cells-CD8+ T cells","stroma","0.041884816753926704","reg003","1","3"
"35","1","tumor cells-CD8+ T cells","tumor cells","0.6178010471204188","reg003","1","3"
"36","1","tumor cells-CD8+ T cells","tumor cells, intraepithelial","0.0","reg003","1","3"
"37","1","tumor cells-CD8+ T cells","vasculature","0.015706806282722512","reg003","1","3"
"38","2","tumor cells-Tregs","B cells","0.0","reg003","1","3"
"39","2","tumor cells-Tregs","CD4+ T cells","0.013605442176870748","reg003","1","3"
"40","2","tumor cells-Tregs","CD8+ T cells","0.07482993197278912","reg003","1","3"
"41","2","tumor cells-Tregs","CLA+ leukocytes","0.0","reg003","1","3"
"42","2","tumor cells-Tregs","Langerhans cells","0.006802721088435374","reg003","1","3"
"43","2","tumor cells-Tregs","Tregs","0.21768707482993196","reg003","1","3"
"44","2","tumor cells-Tregs","epithelium","0.0","reg003","1","3"
"45","2","tumor cells-Tregs","lymphatics","0.0","reg003","1","3"
"46","2","tumor cells-Tregs","macrophages (M1=M2)","0.027210884353741496","reg003","1","3"
"47","2","tumor cells-Tregs","macrophages (M1>M2)","0.1360544217687075","reg003","1","3"
"48","2","tumor cells-Tregs","macrophages (M2>M1)","0.013605442176870748","reg003","1","3"
"49","2","tumor cells-Tregs","mast cells","0.0","reg003","1","3"
"50","2","tumor cells-Tregs","nerves","0.0","reg003","1","3"
"51","2","tumor cells-Tregs","neutrophils","0.0","reg003","1","3"
"52","2","tumor cells-Tregs","plasma cells","0.013605442176870748","reg003","1","3"
"53","2","tumor cells-Tregs","stroma","0.034013605442176874","reg003","1","3"
"54","2","tumor cells-Tregs","tumor cells","0.42857142857142855","reg003","1","3"
"55","2","tumor cells-Tregs","tumor cells, intraepithelial","0.0","reg003","1","3"
"56","2","tumor cells-Tregs","vasculature","0.034013605442176874","reg003","1","3"
"57","3","tumor cells-stroma","B cells","0.0","reg003","1","3"
